,transaction_id,amount,transaction_type,merchant_category,customer_age,customer_income,account_age,location,num_prev_transactions,illicit
4000,4001,42.4311226634094,1,0,29,165024,85,1,485,0
4001,4002,81.8487627548699,2,1,67,134369,80,2,376,0
4002,4003,71.389356067275,2,0,65,20318,73,2,967,0
4003,4004,8.35588052049445,0,4,19,97354,77,1,651,1
4004,4005,8.08181711588561,2,3,28,46011,74,2,407,0
4005,4006,15.6106500349243,0,3,61,38787,127,1,785,0
4006,4007,22.3983887036828,0,1,54,132286,177,1,118,0
4007,4008,26.2509251776947,2,4,76,129160,121,2,270,0
4008,4009,56.9244266577576,0,0,76,163588,85,2,955,0
4009,4010,2.91750847606896,2,3,73,119032,177,2,911,0
4010,4011,1.76440342710148,0,3,55,185127,170,2,96,0
4011,4012,24.8716653706487,0,3,42,122305,168,2,841,0
4012,4013,59.7281428766541,0,3,60,28752,199,0,46,0
4013,4014,10.7485607353272,0,2,38,144345,174,2,663,1
4014,4015,51.2919559519013,0,1,59,100506,150,1,172,0
4015,4016,15.0436436861116,0,0,53,130382,82,2,786,0
4016,4017,108.615622823521,0,0,26,118328,21,2,346,0
4017,4018,113.019375499456,1,1,29,168610,179,2,236,0
4018,4019,17.640350579389,0,4,27,32657,142,1,936,0
4019,4020,13.0678326215628,2,1,76,168915,74,2,542,0
4020,4021,26.4922655076501,0,3,63,101119,225,2,212,0
4021,4022,13.7568272309185,1,3,22,41491,9,1,271,0
4022,4023,55.7956304908971,0,1,50,123010,146,2,406,0
4023,4024,87.4535899580688,0,1,22,197503,13,2,77,0
4024,4025,55.903844684429,2,0,33,148801,17,2,790,0
4025,4026,86.96322232633,0,0,80,62180,126,2,552,0
4026,4027,25.2912542170935,2,2,54,38540,87,2,145,0
4027,4028,8.49892063187798,0,2,54,27943,153,2,931,0
4028,4029,66.9611784535946,1,3,46,140730,182,2,11,1
4029,4030,22.3514395947797,0,2,35,28911,16,1,759,0
4030,4031,55.6260522100618,0,2,46,191326,24,1,228,0
4031,4032,15.7796623216748,2,4,23,83000,223,1,842,0
4032,4033,4.23595312519691,0,1,70,89305,75,1,964,0
4033,4034,245.190911528377,1,0,35,22479,151,2,690,0
4034,4035,8.49207831823008,0,2,49,30112,169,1,340,0
4035,4036,222.928082250939,2,0,77,129575,103,2,671,0
4036,4037,189.225335855375,0,2,59,66809,86,1,732,0
4037,4038,78.9498254530938,1,2,64,52205,161,2,838,0
4038,4039,53.8556964795513,2,3,48,157629,105,2,163,0
4039,4040,43.1146421274663,0,4,79,187170,42,1,679,0
4040,4041,100.533678381746,0,1,73,189862,176,1,381,0
4041,4042,17.0850607097106,0,1,71,130947,18,1,730,0
4042,4043,31.5256372225704,1,3,28,54826,191,2,581,0
4043,4044,48.2989984838128,0,3,43,173146,78,2,421,0
4044,4045,26.482626810245,0,1,45,146201,92,2,437,0
4045,4046,27.8859441427981,0,1,44,107691,11,2,771,0
4046,4047,20.045126687583,0,4,36,136558,152,2,941,0
4047,4048,41.5322433336797,2,2,74,121925,189,2,62,0
4048,4049,95.0478762801332,1,4,62,116320,192,2,994,0
4049,4050,11.2527925551193,2,1,44,52401,164,2,969,0
4050,4051,136.234167471763,1,2,76,162637,126,1,245,0
4051,4052,58.412212568912,2,1,79,110236,211,1,997,0
4052,4053,86.6575156705078,0,4,37,84702,205,2,49,0
4053,4054,40.6180148355845,0,4,20,162184,97,2,797,0
4054,4055,75.5966665191852,2,4,33,99297,53,2,233,0
4055,4056,0.816652925167032,1,2,56,128327,83,2,968,0
4056,4057,85.2920512779983,1,0,61,159957,47,1,527,0
4057,4058,2.04833249314624,0,0,46,152448,52,1,947,0
4058,4059,110.324386774253,0,1,32,157011,224,1,515,0
4059,4060,241.183397526572,0,2,47,193021,207,2,281,0
4060,4061,17.4117800772899,1,3,57,153918,57,1,668,0
4061,4062,11.8062825323646,1,0,72,92353,75,2,219,0
4062,4063,72.4858595333579,2,2,66,27430,151,2,906,0
4063,4064,14.5862678373579,0,2,18,177400,59,2,347,0
4064,4065,100.33275014713,2,0,46,162223,69,1,363,0
4065,4066,5.42619748869913,0,2,70,178691,184,2,991,0
4066,4067,6.73118209583219,0,2,80,54484,86,2,919,0
4067,4068,193.523795934018,2,0,47,144506,170,1,562,0
4068,4069,56.0181921297419,0,4,57,178736,146,2,41,1
4069,4070,93.8290266937688,0,1,63,157852,71,2,422,0
4070,4071,19.6024783142117,1,3,49,48604,33,2,134,0
4071,4072,56.4252966490836,2,1,27,127385,3,2,785,0
4072,4073,45.0998965302842,0,4,44,37762,28,1,258,0
4073,4074,46.2098603068179,2,4,68,139272,1,2,190,0
4074,4075,57.3689850320099,0,2,25,174837,126,2,255,0
4075,4076,42.8255790306091,2,1,68,188115,191,2,747,0
