,transaction_id,amount,transaction_type,merchant_category,customer_age,customer_income,account_age,location,num_prev_transactions,illicit
1000,1001,10.2365140956733,2,1,26,177889,174,1,398,0
1001,1002,39.0334923075868,0,3,80,30555,221,1,103,0
1002,1003,103.157089714103,1,0,29,90656,151,1,310,0
1003,1004,65.8803889565237,2,0,27,148061,10,2,808,0
1004,1005,82.1396913036879,0,1,27,141432,73,1,126,0
1005,1006,53.7618857585201,1,4,67,155787,113,2,39,0
1006,1007,58.9276918070766,2,1,61,150694,77,1,71,0
1007,1008,94.588599402514,0,4,71,54162,32,2,746,0
1008,1009,14.361975777006,2,0,79,121173,113,2,881,0
1009,1010,33.6108833085621,0,4,65,117858,179,1,944,0
1010,1011,12.5006564553061,1,3,40,121980,237,2,981,0
1011,1012,219.777920870266,1,2,23,146652,169,1,246,0
1012,1013,144.173189366021,1,4,41,58458,65,2,805,0
1013,1014,2.01125506026895,2,2,74,124122,193,1,246,0
1014,1015,61.1365781597864,0,3,41,118538,101,2,311,0
1015,1016,129.679177873763,2,2,38,154212,168,2,33,0
1016,1017,9.9576412693925,0,3,73,131201,18,2,128,0
1017,1018,41.9601458822951,2,2,59,168455,164,1,9,0
1018,1019,123.543263206277,2,2,48,168790,31,1,167,0
1019,1020,1.72677617721059,0,1,64,107008,54,2,783,0
1020,1021,59.7705228446443,0,4,75,172935,63,0,215,0
1021,1022,17.6447482372606,1,2,58,31377,1,1,941,0
1022,1023,129.112433567784,1,0,47,103031,239,0,407,0
1023,1024,177.123496131113,0,1,73,144403,180,2,751,0
1024,1025,144.358684062049,0,4,51,165942,228,2,525,0
1025,1026,32.1430702599229,0,1,35,77487,185,2,601,0
1026,1027,99.0405353367679,1,4,29,170372,9,2,934,0
1027,1028,93.071363664954,0,3,52,87639,214,2,17,0
1028,1029,19.2170260759767,2,2,24,110731,120,2,339,0
1029,1030,88.2798770697327,0,0,58,144766,92,2,680,0
1030,1031,1.88548976344549,2,1,57,123429,90,1,567,0
1031,1032,45.3504320143903,0,1,42,194052,116,0,675,0
1032,1033,13.0688120598643,2,1,23,183122,202,1,663,0
1033,1034,6.4238883735822,0,1,18,153993,56,2,89,0
1034,1035,4.00376716521914,2,2,63,150904,175,2,284,0
1035,1036,59.5838974844119,0,4,33,90270,3,2,533,0
1036,1037,20.7663006534284,2,2,77,105293,130,2,266,0
1037,1038,64.5068218610189,1,3,65,50328,54,2,808,0
1038,1039,3.37949677447372,0,2,21,43138,37,2,432,0
1039,1040,18.9380190708839,1,2,46,163166,184,2,757,0
1040,1041,38.7711757200025,2,3,55,29028,159,1,650,0
1041,1042,78.2048666668994,0,2,64,166504,97,1,51,0
1042,1043,19.1914803520079,0,4,45,63819,224,2,66,0
1043,1044,49.1604543201081,0,0,39,108627,235,2,596,0
1044,1045,108.568082936214,2,3,80,25312,12,1,249,0
1045,1046,47.8378254536043,2,1,25,45973,186,2,330,0
1046,1047,13.2607821482925,0,4,80,122126,195,2,903,0
1047,1048,1.23517068720776,2,0,49,180045,112,2,414,0
1048,1049,102.049084318709,1,4,50,64390,154,2,122,1
1049,1050,1.07494320801307,1,4,30,167171,78,2,201,0
1050,1051,103.852888330209,2,1,44,69956,140,1,5,0
1051,1052,37.6381860234777,1,0,35,119379,90,2,848,0
1052,1053,139.899592139633,2,4,35,34063,144,2,485,0
1053,1054,80.1686261511563,0,1,30,114306,181,2,198,0
1054,1055,309.109720542366,1,3,39,113196,72,1,735,0
1055,1056,21.5939308424142,0,1,79,29605,177,2,12,0
1056,1057,72.8762629555729,0,2,31,116185,177,2,5,0
1057,1058,25.702450131147,0,1,28,122756,92,2,962,0
1058,1059,32.6843652142596,1,1,56,136351,7,2,410,0
1059,1060,49.3766453814058,1,1,67,92964,15,2,120,0
1060,1061,103.44570320162,0,4,70,166889,105,2,556,0
1061,1062,207.019851842065,0,0,39,22420,164,1,361,0
1062,1063,73.1098555169613,0,1,53,104448,72,0,537,0
1063,1064,27.0442096795571,2,1,34,109897,74,2,3,0
1064,1065,27.3534787909512,0,2,68,47728,143,2,804,0
1065,1066,66.8908887986833,2,2,49,144826,62,2,788,0
1066,1067,13.6414560029797,0,3,31,77858,146,1,283,0
1067,1068,5.85333347903307,0,3,59,126716,46,2,721,0
1068,1069,21.8959665797058,0,2,74,180036,229,1,799,0
1069,1070,16.9304553208913,0,0,46,96992,105,1,358,0
1070,1071,17.5707344866153,1,3,23,119259,109,0,692,0
1071,1072,13.3030582979748,0,0,67,136185,61,1,764,0
1072,1073,2.15023904686737,0,2,74,193312,121,1,928,0
1073,1074,0.901780141597453,0,3,21,120282,43,2,281,0
1074,1075,219.998898955615,0,1,28,163747,172,2,656,0
1075,1076,27.9109873446051,0,2,62,117677,99,2,951,0
1076,1077,24.2519363727659,0,3,57,80049,194,2,627,0
1077,1078,56.9166324313224,2,0,27,199508,55,1,348,0
